,Raga,Arohanam,Avarohanam
304,Basant Bahar,S M2 P G3 M2 N3 D1 N3 S,R2 S N2 D2 P M1 G2 M1 G2 R2 S
305,Bhageshri,S G2 M1 D2 N2 S,S N2 D2 M1 P D2 G2 M1 R2 S
306,Bhagavatapriya,S R2 G2 M1 P N2 S,S N2 D2 P M1 G2 R2 S
307,Bhagavathpriya,S R2 G2 M1 R2 M1 P D2 N2 S,S N2 D2 P M1 R2 S
308,Bhimpalas,N2 S G2 M1 P N2 S,S N2 D2 P M1 G2 R2 S
309,Brindavana Saranga,S R2 M1 P N3 S,S N2 P M1 R2 G2 R2 S
310,Brindavani,S R2 M1 P N3 S,S N2 P M1 R2 S
311,Chakrapradipta,S R2 G2 M1 P M1 D2 N2 S,S N2 D2 M1 G2 S
312,Chittaranjani,S R2 G2 M1 P D2 N2,N2 D2 P M1 G2 R2 S
313,Darbar,S R2 M1 P D2 N2 S,R2 S N2 S D2 P M1 R2 G2 G2 R2 S
314,Dayavati,S R2 G2 P N2 S,S N2 P M1 G2 S
315,Devamruthavarshani,S R2 G2 M1 N2 D2 N2 S,S N2 D2 P M1 G2 R2 S
316,Deva Manohari,S R2 M1 P D2 N2 S,S N2 D2 N2 P M1 R2 S
317,Dhanakapi,S R2 M1 P N2 S (Varies),S N2 D2 N2 P M1 G2 R2 S
318,Dilipika,S R2 G2 M1 P N2 D2 N2 P D2 N2 S,S N2 D2 P M1 G2 R2 S
319,Durga,S R2 M1 D2 P D2 S,S D2 P M1 R2 S
320,Gowla Kannada,S R2 G2 M1 P D2 N2 S,S N2 P M1 G2 S
321,Hamsa abheri,S G2 P M1 P N2 S,S N2 D2 P M1 G2 S
322,Haridasapriya,S P M1 G3 M1 P N2 S,S N2 D2 N2 P M1 G2 R2 S
323,Harinarayani,S R2 G2 M1 P M1 D2 N2 S,S N2 P M1 G2 R2 S
324,Hindustani Kapi,S R2 M1 P N2 S,S N2 D2 N2 P M1 G2 M1 D2 P G2 R2 S N2 S
325,Huseni,S R2 G2 M1 P N2 D2 N2 S,S N2 D1 P M1 G2 R2 S
325,Huseni,S R2 G3 M1 P N3 D2 M1 P N3 S,S N3 S P D2 M1 P G3 R2 S
326,Jatadhari,S R2 M1 P D2 N2 S,S N2 D2 P M1 R2 S
327,Jayamanohari,S R2 G2 M1 D2 S,S N2 D2 M1 G2 R2 S
328,Jayanarayani,S R2 G2 M1 P D2 S,S N2 D2 P M1 G2 R2 S
329,Jayanthasena,S G2 M1 P D2 S,S N2 D2 P M1 G2 S
330,Kanada,S R2 G2 M1 D2 N2 S,S N2 P M1 G2 M1 R2 S
331,Kapi,S R2 M1 P N3 S,S N2 D2 N2 P M1 G2 R2 S
332,Kapijingala,S N2 S R2 G2 M1,M1 G2 R2 S N2 D2 N2 S
333,Kalanidhi,S R2 G2 M1 S P M1 D2 N2 S,S N2 D2 P M1 G2 R2 S
334,Kalika,S R2 G2 P D2 N2 S,S N2 D2 P G2 R2 S
335,Kannadagowla,S R2 G2 M1 P N2 S,S N2 D2 P M1 G2 S
336,Karnataka Hindolam,S G2 M1 D2 N2 S,S N2 D2 M1 G2 S
337,Karnataka Kapi,S R2 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R2 S
338,Karnataka Devagandhari,S G2 M1 P N2 S,S N2 D2 P M1 G2 R2 S
339,Karnaranjani,S R2 G2 M1 G2 P D2 S,S N2 D2 P M1 G2 R2 S
340,Kowmodaki,S R2 G2 M1 P D2 N2 S,S D2 P G2 S
341,Kowshika,S G2 M1 D2 N2 S,S N2 D2 M1 G2 M1 R2 S
342,Lalitamanohari,S G2 M1 P D2 N2 S,S N2 P M1 G2 R2 S
343,Madhavamanohari,S R2 G2 M1 P N2 D2 N2 S,S N2 D2 M1 G2 R2 S
344,Malavashree,S G2 M1 P N2 D2 N2 P D2 N2 S,S N2 D2 P M1 G2 R2 S
345,Mayapradeeptam,S M1 G2 M1 P D2 N2 S,S D2 P M1 G2 R2 S
346,Madhyamaravali,S R2 G2 P D2 N2 S,S N2 D2 P G2 R2 S
347,Madhyamavathi,S R2 M1 P N2 S,S N2 P M1 R2 S
348,Mahanandhi,S R2 G2 P D2 S,S D2 P G2 R2 S
349,Mandamari,S R2 M1 P D2 S,S N2 S D2 P M1 G2 R2 S
350,Mangalavathi,S R2 M1 P D2 S,S D2 P M1 G2 R2 S
351,Manirangu,S R2 M1 P N2 S,S N2 P M1 G2 R2 S
352,Manjari,S G2 R2 G2 M1 P N2 D2 N2 S,S N2 D2 P M1 G2 R2 S
353,Manohari,S G2 R2 G2 M1 P D2 S,S D2 P M1 G2 R2 S
354,Manorama,S R2 G2 M1 P D1 P S,S N2 D1 P M1 G2 R2 S
355,Maruvadhanyasi,S G2 M1 P D2 S,S N2 D2 P M1 D2 M1 G2 R2 S
356,Mishramanolayam,S R2 M1 P D1 S,S D2 D1 P M1 R2 S
357,Mishrashivaranjani,S R2 G2 P D2 S,S D2 P G3 G2 R2 S
358,Miyan Malhar,S R2 P M1 P N2 D2 N3 S,S N2 P M1 P G2 M1 R2 S
359,Mukhari,S R2 M1 P N2 D2 S,S N2 D1 P M1 G2 R2 S
360,Nadachintamani,S R2 G2 M1 N2 D2 N2 S,S N2 D2 P M1 G2 R2 S
361,Nadatarangini,S P M1 R2 G2 S,S P N2 D2 P M1 G2 R2 G2 S
362,Nadavarangini,S P M1 N2 D2 N2 S,S P N2 D2 P M1 G2 R2 G2 S
363,Nagari,S R2 M1 P D2 N2 S,S N2 D2 P M1 G2 S
364,Nagavalli,S R2 M1 D2 N2 S,S N2 D2 M1 R2 S
365,Nayaki,S R2 M1 P D2 N2 D2 P S,S N2 D2 P M1 R2 G2 R2 S
366,Nigamagamini,M1 G2 S G2 M1 N2 S,S N2 M1 G2 M1 G2 S
367,Nirmalangi,S R2 M1 P N2 S,S N2 P M1 R2 S
368,Omkari,S R2 G2 M1 P D2 S,S D2 P M1 G2 R2 S
369,Panchamam,S R2 D2 P N2 S,S N2 D2 P M1 G2 R2 S
370,Patadeep,N2 S G2 M1 P N2 S,S N2 D2 P M1 G2 R2 S N2 S G2 R2 S
371,Phalamanjari,S G2 M1 D2 S,S N2 D2 P M1 G2 M1 R2 S
372,Phalaranjani,S G2 M1 P M1 D2 S,S N2 D2 P M1 G2 M1 R2 S
373,Peeloo,N2 S G3 M1 P N2 D2 P S,S N2 D2 P D2 P M1 G2 R2 S N2 S
374,Poornakalanidhi,S G2 M1 P D2 N2 S,S D2 P M1 G2 R2 S
375,Pushpalathika,S R2 G2 M1 P N2 S,S N2 P M1 G2 R2 S
376,Ratipatipriya,S R2 G2 P N2 S,S N2 P G2 R2 S
377,Reethigowla,S G2 R2 G2 M1 N2 D2 M1 N2 N2 S,S N2 D2 M1 G2 M1 P M1 G2 R2 S
378,Rudrapriya,S R2 G2 M1 P D2 N2 S,S N2 P M1 G2 R2 S
379,Salagabhairavi,S R2 M1 P D2 S,S N2 D2 P M1 G2 R2 S
380,Sarang,S R2 M1 P N2 S,S N2 P M1 R2 S
381,Saindhavi,N2 D2 N2 S R2 G2 M1 P D2 N2,D2 P M1 G2 R2 S N2 D2 N2 S
382,Sangrama,S R2 M1 D2 N2 P S,S N2 D2 G2 R2 S
383,Sankrandanapriya,S R2 G2 P D2 S,S D2 P G2 R2 S
384,Sarvachoodamani,S R2 M1 G2 M1 P D2 N2 S,S N2 P D2 N2 D2 P M1 G2 R2 G2 R2 S
385,Shivapriya,S R2 G2 P D2 S,S D2 P G2 R2 S
386,Shivaranjani,S R2 G2 P D2 S,S D2 P G2 R2 S
387,Shree Manohari,S G2 R2 G2 M1 P D2 S,S D2 P M1 G2 R2 S
388,Shree Manoranjani,S G2 M1 D2 N2 S,S N2 D2 M1 G2 R2 S
389,Shreeranjani,S R2 G2 M1 D2 N2 S,S N2 D2 M1 G2 R2 S
390,Siddhasena,S G2 R2 G2 M1 P D2 S,S N2 D2 M1 P M1 R2 G2 R2 S
391,Suddha Bangala,S R2 M1 P D2 S,S D2 P M1 R2 G2 R2 S
392,Suddha Bhairavi,S G2 M1 P N2 D2 S,S N2 D2 M1 G2 R2 S
393,Suddha Dhanyasi,S G2 M1 P N2 S,S N2 P M1 G2 S
394,Suddha Hindolam (Varamu),S G2 M1 D2 N2 S,S N2 D2 M1 G2 S
395,Suddha Manohari,S R2 G2 M1 P D2 S,S N2 P M1 R2 G2 S
396,Suddha Velavali,S R2 M1 P N2 S,S N2 D2 N2 P M1 G2 R2 S
397,Sugunabhooshani,S G2 M1 P M1 D2 N2 S,S N2 D2 P M1 D2 M1 R2 S
398,Swarabhooshani,S G2 M1 P D2 N2 S,S N2 D2 P M1 R2 S
399,Swarakalanidhi,S M1 G2 M1 P D2 N2 S,S N2 D2 N2 P M1 G2 R2 S
400,Swararanjani,S R2 G2 M1 D2 N2 S,S N2 P M1 G2 M1 R2 S
401,Tavamukhari,S R2 G2 P D2 S,S N2 D2 P M1 G2 R2 S
402,Vajrakanti,S G2 M1 P N2 S,S N2 D1 P M1 G2 R2 S
403,23 Gowri Manohari,S R2 G2 M1 P D2 N3 S,S N3 D2 P M1 G2 R2 S
404,Gowrivelavali,S R2 G2 S R2 M1 P D2 S,S N3 D2 P M1 G2 R2 S
404,Gowrivelavali,S R2 G1 G2 S R2 M1 M1 P D2 D2 S,S N3 D2 P M1 G1 G2 R2 S
405,Gowrishankar,S R2 G2 M1 P N3 S,S N3 D2 P M1 G2 R2 S
406,Hamsadeepika,S R2 G2 M1 D2 S,S N3 D2 P M1 G2 R2 S
407,Hrudkamali,S R2 M1 D2 N3 S,S N3 D2 M1 R2 S
408,Lavanthika,S R2 M1 P N3 S,S N3 P M1 R2 S
409,Sundaramanohari,S R2 M1 P N3 S,S N3 D2 P M1 G2 R2 S
410,Vasantashree (Amba Manohari),S R2 G2 M1 D2 N3 S,S N3 D2 M1 G2 R2 S
411,Velavali,S G2 M1 D2 N3 S,S N3 D2 P M1 G2 R2 S
411,Velavali,S R2 M1 P D2 S,S N3 D2 P M1 G2 R2 S
411,Velavali,S R2 G2 M1 P D2 S,S N3 D2 P M1 G2 S
411,Velavali,S G2 R2 M1 P D2 S,S N3 D2 P M1 G2 R2 S
411,Velavali,S R2 G2 S R2 M1 P D2 S,S N3 D2 P M1 G2 R2 S
411,Velavali,S R2 M1 P D2 N3 S,S N3 D2 P M1 G2 R2 S
412,24 Varunapriyaa,S R2 G2 M1 P D3 N3 S,S N3 D3 P M1 G2 R2 S
413,Veeravasantham,S R2 G2 M1 P S,S N3 D3 P M1 G2 R2 S
414,25 Mararanjani,S R2 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R2 S
415,Sharavathi,S R2 G3 M1 P D1 N1 D1 S,S N1 D1 P M1 G3 R2 S
416,Devasalaga,S G3 P D1 N1 S,S N1 D1 P M1 G3 R2 S
417,Kesari,S R2 G3 M1 P M1 D1 P D1 S,S D1 N1 D1 P M1 G2 R2 S
418,Rajathilaka,S R2 G3 M1 P S,S P M1 G3 R2 S
419,26 Charukeshi,S R2 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R2 S
420,Tarangini,S R2 G3 P D1 N2 D1 S,S D1 P M1 G3 R2 S
420,Tarangini,S R2 G3 P D1 N2 D1 P D1 S,S D1 P G3 R2 S G3 M1 R2 G3 S
421,Chirswaroopi,S R2 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R2 S
422,Maravi,S G3 M1 P N2 S,S N2 D1 P M1 G3 R2 S
423,Poorvadhanyasi,S M1 G3 M1 N2 S,S N2 D1 P M1 G3 R2 S
424,Shiva Manohari,S M1 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R2 S
425,Shukrajyothi,S R2 G3 M1 P D1 N2 S,S N2 P D1 M1 G3 R2 S
426,Ushabharanam,S G3 M1 D1 P M1 D1 N2 S,S N2 D1 P M1 G3 R2 G3 M1 R2 S
427,27 Sarasangi,S R2 G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R2 S
428,Sowrasena,S R2 M1 P D1 S,S N3 D1 P M1 G3 R2 S
429,Haripriya,S R1 G3 M1 P S,S N3 D1 P M1 G3 S
430,Kamala Manohari,S G3 M1 P N3 S,S N3 D1 P M1 G3 S
431,Madhulika,S R2 G3 M1 N3 S,S N3 M1 G3 R2 S
432,Nalinakanthi,S G3 R2 M1 P N3 S,S N3 P M1 G3 R2 S
433,Neelamani,S R2 M1 P D1 N3 S,S N3 D1 P M1 R2 S
434,Salavi,S G3 R2 G3 M1 P D1 N3 D1 S,S N3 D1 P M1 G3 R2 S
435,Sarasanana,S R2 G3 M1 D1 N3 S,S N3 D1 M1 G3 R2 S
436,Saraseeruha,S R2 G3 M1 D1 N1 D1 S,S N1 D1 M1 G3 R2
437,Simhavahini,S G2 M1 P D1 N3 S,S N3 D1 P M1 G3 R2 S
438,Surasena,S R2 M1 P D1 S,S N3 D1 P M1 G3 S R2 S
439,Sutradhari,(Also 20) S R2 M1 P D1 S,S D1 P M1 R2 S
440,Vasanthi,S R2 G3 P D1 S,S D1 P G3 R2 S
441,28 Harikambhoji,S R2 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
442,Harikedaragowla,S R2 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
443,Ambhojini,S R2 G3 M1 D2 S,S D2 M1 G3 R2 S
444,Andhali,S R2 M1 P N2 S,S N2 P M1 R2 G3 M1 R2 S
445,Aparoopam,S R2 G3 M1 P N2 D2 N2 S,S D2 M1 G3 R2 G3 S
446,Balahamsa,S R2 M1 P D2 S,S N2 D2 P M1 R2 M1 G3 S
447,Bahudari,S G3 M1 P D2 N2 S,S N2 P M1 G3 S
448,Bhoopali,S R2 G3 P D2 S,S D2 P G3 R2 S
449,Chayalagakhamas,S M1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
450,Chayatarangini,S R2 M1 G3 M1 P N2 S,S N2 D2 P M1 G3 R2 S
451,Chandrahasitham,S R2 G3 M1 D2 N2 S,S N2 D2 M1 G3 R2 S
452,Dasharatipriya,S M1 G3 M1 P D2 N2 D2 S,S N2 D2 P M1 G3 M1 R2 S
453,Dayaranjani,S R2 M1 P D2 S,S N2 D2 M1 G3 S
454,Desh,S R2 M1 P N3 S,S N2 D2 P M1 G3 R2 S
455,Deshakshi,S R2 G3 P D2 S,S N2 D2 P M1 G3 R2 S
456,Deshkar,S R2 G3 P D2 S,S D2 P G3 R2 S
457,Dwaithachintamani,S G3 M1 D2 N2 S,S N2 D2 M1 P G3 R2 S
457,Dwaithachintamani,S G3 M1 D2 N2 S,S N2 D2 M1 G3 R2 S
458,Dwijavanthi,S R2 M1 G3 M1 P D2 S,S N2 D2 P M1 G3 M1 R2 G2 R2 S N2 D2 N2 S
459,Eeshamanohari,S R2 G3 M1 P D2 N2 S,S N2 D2 P M1 R2 M1 G3 R2 S
460,Eeshaivaridhi,S R2 M1 D2 N2 S,S N2 P M1 R2 S
461,Gandharalola,S R2 M1 P D2 S,S N2 D2 P M1 G3 M1 G3 R2 S
462,Gavathi,S M1 P N2 S,S D2 M1 P G3 M1 R2 N2 S
463,Guhamanohari,S R2 M1 D2 N2 S,S N2 D2 M1 R2 S
464,Guharanjani,S R2 S M1 P D2 N2 S,S N2 D2 N2 P M1 G3 S
465,Hamsaroopini,S R2 G3 P D2 S,S N2 P M1 R2 S
466,Haridasapriya,S P M1 G3 M1 P N2 S,S N2 D2 N2 P M1 G2 R2 S
467,Harikedaram,S R2 G3 M1 P D2 N2 S N2 S,S N2 S D2 N2 D2 P M1 G3 R2 S
468,Harini,S G3 M1 P D2 N2 D2 S,S N2 S N2 D2 P M1 G3 M1 G2 R2 S
469,Harithapriya,S R2 M1 P D2 S,S N2 D2 P M1 G3 R2 G3 R2 S
470,Hemasaranga,S R2 G3 M1 P D2 N2 D2 S,S P M1 G3 R2 S
471,Jaijaivanthi,S R2 G3 R2 S D2 N2 P R2 G3 M1 P N2 S,N2 S N2 D2 P D2 M1 G3 R2 G3 R2 S
472,Jaithshree,S R2 G3 P D2 S,S D2 P G3 R2 S
473,Jana Sammodhini,S R2 G3 P D2 N2 S,S N2 D2 P G3 R2 S
474,Jayarama,S R2 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 S
475,Jhinjothi,D2 S R2 G3 M1 P D2 N2,D2 P M1 G3 R2 S N2 D2 P D2 S
476,Jog (Hindustani),S G3 M1 P N3 S,S N2 P M1 G3 M1 G3 S G2 S
477,Jujahuli,S M1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 S
478,Kambhoji,S R2 G3 M1 P D2 S,S N2 D2 P M1 G3 R2 S N3 P D2 S
479,Kapi Narayani,S R2 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
480,Kamas,S M1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
481,Karnataka Behag,S R2 G3 M1 P D2 N2 S,S N2 D2 N2 P D2 M1 G3 R2 S
482,Karnataka Devagandhari,S G3 M1 P N2 S,S N2 D2 P M1 G3 R2 S
483,Karnataka Khamas,S G3 M1 P D2 N2 S,S N2 D2 P M1 G3 S
484,Kedaragowla,S R2 M1 P N2 S,S N2 D2 P M1 G3 R2 S
485,Keshavapriya,S R2 S M1 P D2 N2 S,S N2 S P M1 G3 R2 S
486,Kokiladhwani,S R2 G3 M1 D2 N2 D2 S,S N2 D2 N2 P M1 G3 R2 S
487,Kokilavarali,S R2 M1 P D2 S,S N2 D2 M1 P M1 G3 R2 G3 S
488,Kunthalavarali,S M1 P D2 N2 D2 S,S N2 D2 P M1 S
489,Malavi,S R2 G3 M1 P N2 M1 D2 N2 S,S N2 D2 N2 P M1 G3 M1 R2 S
490,Madhurakokila,S R2 G3 D2 N2 S,S N2 D2 G3 R2 S
491,Mahathi,S G3 P N2 S,S N2 P G3 S
492,Mahuri,S R2 M1 G3 R2 G3 P D2 S,S N2 D2 P M1 G3 R2 S R2 G3 R2 S
493,Manjupriya,S G3 M1 P N2 S,S N2 D2 P G3 R2 S
494,Manoharam,S R2 G3 M1 D2 N2 S,S N2 P M1 R2 S
495,Mattakokila,S R2 P D2 N2 D2 S,S D2 N2 D2 P R2 S
496,Meghana,S M1 G3 M1 P D2 S,S N2 D2 M1 G3 S
497,Mohanam,S R2 G3 P D2 S,S D2 P G3 R2 S
498,Nadavalli,S R2 M1 D2 N2 S,S N2 D2 M1 R2 S
499,Nagaswaravali,S G3 M1 P D2 S,S D2 P M1 G3 S
500,Narayanagowla,S R2 M1 P N2 D2 N2 S,S N2 D2 P M1 G3 R2 G3 S
501,Narayani,S R2 M1 P D2 S,S N2 D2 P M1 R2 S
502,Nattai Kurinji,S R2 G3 M1 N2 D2 N2 P D2 N2 S,S N2 D2 M1 G3 M1 P G3 R2 S
502,Nattai Kurinji,S R2 G3 M1 D2 N2 S,S N2 D2 M1 G3 S
502,Nattai Kurinji,S R2 G3 M1 N2 D2 N2 P D2 N2 S,S N2 D2 M1 G3 M1 P M1 G3 R2 S
503,Nattai Narayani,S R2 G3 M1 D2 N2 D2 S,S N2 D2 P M1 G3 M1 R2 S
504,Nandhkowns,S G3 M1 P M1 D2 N2 S,S N2 D2 P M1 G3 S G3 S
505,Narani,S R2 M1 P D2 S,S N2 D2 P M1 R2 S
506,Navarasa Kalanidhi,S R2 M1 P S N2 S,S N2 D2 P M1 G3 R2 S
507,Navarasa kannada,S G3 M1 P S,S N2 D2 M1 G3 R2 S
508,Neela,S G3 M1 D2 N2 S,S N2 D2 M1 G3 S
509,Parsi,S R2 G3 M1 D2 N2 S,S N2 D2 P M1 G3 R2 S
510,Parameshwarapriya,S R2 G3 M1 P N2 S,S N2 P M1 R2 S
511,Pashupathipriya,S R2 M1 P M1 D2 S,S D2 M1 P R2 M1 S
512,Poornakambhoji,S R2 G3 M1 P N2 S,S D2 P M1 G3 R2 S
513,Pratapa Nattai,S R2 G3 M1 D2 P D2 N3 S,S N3 D2 P M1 G3 S
514,Pratapavarali,S R2 M1 P D2 P S,S D2 P M1 G3 R2 S
515,Pravalajyoti,S R2 M1 P D2 N2 S,S N2 D2 P M1 G3 S
516,Ragapanjaramu,S R2 M1 P D2 N2 D2 S,S N2 D2 M1 R2 S
517,Ragavinodini,S R2 G3 M1 D2 S,S D2 M1 G3 R2 S
518,Rageshree,S G3 M1 D2 N3 S,S N2 D2 M1 G3 R2 S
518,Rageshree,S G3 M1 D2 N3 S,S N3 D2 M1 G3 R2 S
518,Rageshree,S G3 M1 D2 N3 S,S N3 D2 N3 D2 M1 G3 R2 S
519,Ravi Chandrika,S R2 G3 M1 D2 S,S N2 D2 M1 G3 R2 S
520,Savithri,S G3 M1 P N2 S,S N2 P M1 G3 S
521,Sahana,S R2 G3 M1 P M1 D2 N2 S,S N2 S D2 N2 D2 P M1 G3 M1 R2 G3 R2 S
522,Saraswathi Manohari,S R2 G3 M1 D2 S,S D2 N2 P M1 G3 R2 S
523,Sathvamanjari,S R2 M1 P D2 S,S N2 D2 P M1 N2 D2 M1 R2 S
524,Shakunthala,S R2 G3 M1 D2 N2 S,S N2 D2 M1 G3 S
525,Shankaraharigowla,S R2 G3 M1 P D2 N3 S,S N2 D2 P M1 G3 R2 S
526,Shenchukambhoji,S P M1 D2 N2 S,S N2 D2 P M1 G3 R2 S
527,Chenjurutti,D2 S R2 G3 M1 P D2 N2,N2 D2 P M1 G3 R2 S N2 D2 P D2 S
528,Shiva Kambhoji,S R2 G3 M1 N2 S,S N2 P M1 G3 R2 S
529,Surutti,S R2 M1 P N2 D2 N2 S,S N2 D2 P M1 G3 P M1 R2 S
530,Shyama,S R2 M1 P D2 S,S D2 P M1 G3 R2 S
530,Shyama,S R2 G3 S R2 P M1 D2 D2 S,S D2 P M1 G3 R2 S
531,Simhavikrama,S R2 G3 R2 M1 P D2 P N2 S,S N2 D2 P M1 G3 R2 S
532,Sindhu Kannada,S M1 G3 M1 R2 G3 M1 P D2 P S,S N2 D2 P M1 G3 R2 S
533,Sindhu Surutti,S R2 M1 P N2 S S N2 S,S N2 D2 P M1 R2 M1 G3 R2 S
534,Suddha Khamas,S M1 G3 M1 P D2 N2 S,S N2 D2 P M1 G3 R2 S
535,Suddha Varali,S R2 G3 M1 D2 N2 S,S N2 D2 N2 P M1 G3 S
536,Suddha,S R2 M1 P D2 S,S N2 D2 P M1 R2 S
537,Suddhatarangini,S R2 M1 P D2 S,S N2 D2 P M1 G3 R2 S
538,Sumanapriya,S R2 G3 M1 P D2 P S,S D2 S P M1 G3 R2 S
539,Suposhini,S R2 S M1 P N2 D2 S,S D2 P M1 R2 M1 S
540,Suvarnakriya,S R2 G3 P N2 D2 S,S N2 P G3 R2 S
541,Swaravali,S M1 G3 M1 P N2 D2 N2 S,S N2 D2 P M1 G3 R2 S
542,Swaravedi,S M1 G3 M1 P N2 D2 N2 S,S N2 D2 P M1 G3 S
543,Tilakavathi,S R2 G3 M1 P D2 P S,S D2 P M1 R2 S
544,Thilang,S G3 M1 P N3 S,S N2 P M1 G3 S
545,Umabharanam,S R2 G3 M1 P D2 N2 S,S N2 P M1 R2 G3 M1 R2 S
546,Vaishnavi,S R2 G3 M1 P D2 S,S D2 P M1 G3 R2 S
547,Veenavadini,S R2 G3 P N2 S,S N2 P G3 R2 S
548,Vivardhani,S R2 M1 P S,S N2 D2 P M1 G3 R2 S
549,Yadukula Kambhoji,S R2 M1 P D2 S,S N2 D2 P M1 G3 R2 S
550,29 Dheera Shankarabharanam,S R2 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R2 S
551,Anandharoopa,S R2 G3 P D2 N3 S,S N3 D2 P G3 R2 S
552,Arabhi,S R2 M1 P D2 S,S N3 D2 P M1 G3 R2 S
553,Atana,S R2 M1 P N2 S,S N2 D2 P M1 G2 M1 R2 S
554,Bangala,S R2 G3 M1 P M1 R2 P S,S N3 P M1 R2 G3 M1 R2 S
555,Begada,S G3 R2 G3 M1 P D2 P S,S N2 D2 P M1 G3 R2 S
556,Behag,S G3 M1 P N3 D2 N3 S,S N3 D2 P M1 G3 R2 S
557,Behag Deshikam,S R2 G3 M1 M2 P D2 N3 S,S N3 D2 P M2 M1 G3 R2 S
558,Bilahari,S R2 G3 P D2 S,S N3 D2 P M1 G3 R2 S
559,Buddhamanohari,S R2 G3 M1 S P S,S P M1 G3 R2 S
560,Buddharanjani,S R2 G3 M1 P S,S N3 P M1 G3 M1 R2 S
561,Chaya,S P M1 P D2 P N3 R2 S,S D2 P M1 P D2 P G3 M1 R2 S
562,Chayashankarabharanam,S R1 M1 P D2 N3 S,S N3 D2 P M1 G3 R1 S
563,Devagandhari,S R2 M1 P D2 S,S N3 D2 P M1 G3 R2 S
564,Dharmalakhi,S M1 P D2 N3 S,S N3 D2 P M1 S
565,Dhurvanki,S R2 M1 P D2 S,S N3 D2 P M1 G3 R2 S
566,Gajagowri,S R2 M1 G3 M1 N3 P D2 S,S N3 D2 P M1 P M1 G3 R2 S
567,Garudadhvani,S R2 G3 M1 P D2 N3 S,S D2 P G3 R2 S
568,Gowdamalhar,S R2 M1 P D2 S,S N3 M1 G3 R2 S
569,Hamsadhwani,S R2 G3 P N3 S,S N3 P G3 R2 S
570,Hamsavinodhini,S R2 G3 M1 D2 N3 S,S N3 D2 M1 G3 R2 S
571,Hemant,N3 S D2 N3 S G3 G3 M1 D2 N3 S,S N3 D2 P M1 G3 R2 S
572,Hindustani Behag,S G3 M1 P N3 S,S N3 D2 P M1 G3 R2 S
573,Jana Ranjani,S R2 G3 M1 P D2 P N3 S,S D2 P M1 R2 S
574,Julavu,P D2 N3 S R2 G3 M1 P,M1 G3 R2 S N3 D2 P M1
575,Kamaripriya,S G3 M1 D2 N3 S,S N3 D2 M1 M1 G3 M1 R2 S
576,Kannada,S R2 G3 M1 P M1 D2 N3 S,S N3 S D2 P M1 G3 M1 G3 M1 R2 S
577,Kadanakuthoohalam,S R2 M1 D2 N3 G3 P S,S N3 D2 P M1 G3 R2 S
578,Kedaram,S M1 G3 M1 P N3 S,S N3 P M1 G3 R2 S
579,Kokilabhashani,S R2 G3 M1 P D2 N3 S,S N3 P M1 G3 M1 R2 S
580,Kolahalam,S P M1 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R2 S
581,Kurinji,S N3 S R2 G3 M1 P D2,D2 P M1 G3 R2 S N3 S
582,Kusumavichithra,S G3 R2 G3 M1 P N3 P D2 N3 S,S D2 N3 D2 M1 G3 P M1 G3 R2 S
583,Kutuhala,S R2 M1 N3 D2 P N3 S,S N3 D2 P M1 G3 R2 S
584,Lahari,S R2 G3 P D2 S,S D2 P M1 G3 R2 S
585,Mand,S G3 M1 D2 N3 S,S N3 D2 P M1 G3 R2 S
586,Mayadravila,S R2 G3 M1 P D2 N3 S,S N2 P M1 P G3 M1 R2 S
587,Mohanadhwani,S R2 G3 P D2 S,S N3 P D2 P G3 R2 S
588,Nagabhooshani,S R2 M1 P D2 N3 S,S D2 P M1 R2 S
589,Nagadhwani,S R2 S M1 G3 M1 P N3 D2 N3 S,S N3 D2 N3 P M1 G3 S
590,Narayanadeshakshi,S R2 M1 G3 R2 G3 M1 P D2 N3 S,S N3 D2 P M1 G3 R2 S
591,Navaroj,P D2 N3 S R2 G3 M1 P,M1 G1 R3 S N2 D2 P
592,Neelambari,S R2 G3 M1 P D2 P N3 S,S N3 P M1 G3 R2 G3 S
593,Niroshta,S R2 G3 D2 N3 S,S N3 D2 G3 R2 S
594,Pahadi,S R2 G3 P D2 P D2 S,N3 D2 P G3 M1 G3 R2 S N3 D2 P D2 S
595,Poornachandrika,S R2 G3 M1 P D2 P S,S N3 P M1 R2 G3 M1 R2 S
596,Poornagowla,S R2 G3 M1 P N3 D2 N3 P D2 N3 S,S N3 D2 N3 P M1 G3 R2 S
