,Raga,Arohanam,Avarohanam
73,Vasanthatodi,S R1 G2 M1 D1 N3 S,S N3 D1 M1 R1 S
74,10 Natakapriya,S R1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R1 S
75,Natabharanam,S R1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R1 S
76,Alankarapriya,S R1 G2 M1 D2 N2 S,S N2 D2 M1 G2 R1 S
77,Bhagyashabari,S R1 G2 M1 D2 N2 S,S N2 D2 M1 G2 R1 S
78,Deeparamu,S R1 G2 M1 P D2 N2 S,S N2 D2 N2 P M1 G2 R1 S
79,Gunavati,S R1 M1 P D2 S,S D2 P M1 R1 S
80,Hindoladeshikam,S M1 R1 G2 M1 P D2 N2 S,S P N2 D2 M1 G2 R1 S
81,Kanakadri,S R1 G2 P D2 S,S N2 D2 P M1 G2 R1 S
82,Matangakamini,S G2 M1 P D1 N2 S,S N2 D1 P M1 G2 S
83,Natyadharana,S R1 M1 P D2 S,S N2 D2 P M1 R1 S
84,Niranjana,S R1 G2 M1 P D2 S,S N2 D2 P M1 G2 R1 S
85,Shanthabhashini,S R1 G2 M1 P D2 S,S N2 D2 P M1 S
86,Shivashakti,S G2 M1 D2 S,S N2 D2 M1 G2 S
87,11 Kokilapriyaa,S R1 G2 M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
88,Kokilaravam,S R1 M1 P D2 N3 S,S N3 D2 P M1 G2 R2 S
89,Chitramani,S R1 M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
90,Jnanachintamani,S R1 M1 D2 N3 S,S N3 D2 P M1 R1 S
91,Kowmari,S R1 G2 M1 P D2 S,S N3 D2 P M1 G2 R1 S
92,Shuddha Lalitha,S P M1 D2 N3 S,S N3 S D2 P M1 G2 R1 S
93,Vardhani,S G2 M1 P M1 P D2 N3 S,S N3 D2 P M1 G2 R1 S
94,Vasantamalli,S G2 M1 P N3 S,S D2 P M1 G2 S
95,Vasantanarayani,S R1 G2 M1 P S,S N3 D2 P M1 G2 R1 S
96,12 Rupavati,S R1 G2 M1 P D3 N3 S,S N3 D3 P M1 G2 R1 S
97,Rowpyanaka,S M1 P D3 N3 S,S N3 P M1 G2 R1 S
98,Shyamakalyani,S M1 G2 M1 P D3 N3 S,S N3 P D3 N3 P M1 G2 R1 S
99,13 Gayakapriya,S R1 G3 M1 P D1 N1 S,S N1 D1 P M1 G3 R1 S
100,Geya Hejjajji,S R1 M1 G3 M1 P D1 S,S N3 D1 P M1 G3 R1 S
101,Hejjajji,S R1 G3 M1 P D1 S,S N1 D1 P M1 G3 R1 S
102,Kalakanti,S R1 G3 M1 D1 N1 S,S N1 D1 P G3 R1 S
103,Kalkada,S R1 G3 P D1 N1 S S R1 G3 P D1 S,S N1 D1 P G3 R1 S
104,Kalpanadharini,S G3 M1 P D1 S,S N1 D1 P M1 G3 R1 S
105,14 Vakulabharanam,S R1 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R1 S
106,Vatee Vasantabhairavi,S R1 G3 M1 D1 N2 S,S N2 D1 M1 G3 R1 S
107,Ahiri,S R1 S G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R1 S
108,Amudhasurabhi,S M1 G3 M1 P D1 S,S N2 D1 P M1 R1 S
109,Devipriya,S G3 P N2 S,S N2 D1 P M1 G3 R1 S
110,Kalindaja,S R1 G3 M1 P N2 S,S N2 P M1 G3 R1 S
111,Kuvalayabharanam,S R1 G3 M1 D1 N1 S,S N1 D1 M1 G3 R1 S
112,Sallapa,S G3 M1 D1 N2 S,S N2 D1 M1 G3 S
113,Soma,S R1 P M1 D1 N2 S,S N2 D1 M1 P M1 G3 R1 S
114,Surya,S G3 M1 D1 N2 S,S N2 D1 M1 G3 S
115,Shuddha Kambhoji,S G3 R1 M1 P N2 S,S N2 P M1 G3 R1 S
116,Vasantabhairavi,S R1 G3 M1 D1 N2 S,S N2 D1 M1 P M1 G3 R1 S
117,Vasanta Mukhari,S M1 G3 M1 P D1 N2 S,S N2 D1 P M1 G3 R1 S
118,Vijayollasini,S R1 G3 M1 P M1 D1 N2 S,S N2 D1 P M1 G3 R1 S
119,15 Mayamalava Gowla,S R1 G3 M1 P D1 N3 S,S N3 D1 P M1 G3 R1 S
120,Ardhradesi,S R1 G3 M1 P D1 N3 S,S D1 P M1 G3 R1 S
121,Bhavini,S G3 M1 P D1 N3 S,S N3 D1 P M1 G3 S
122,Bibhas,S R1 G3 P D1 S,S D1 P M1 R1 S
123,Bowli,S R1 G3 P D1 S,S N3 D1 P G3 R1 S
124,Bowli Ramakriya,S R1 G3 P D1 S,S N3 P D1 P M1 G3 R1 S
125,Charuvardhani,S R1 M1 P D1 N3 S,S D1 P M1 G3 R1 S
126,Chayagowla,S R1 M1 G3 M1 P N3 S,S N3 D1 P M1 G3 R1 S
127,Chandrachooda,S M1 G3 M1 P D1 S,S N3 D1 P M1 G3 S
128,Deshyagowla,S R1 P D1 N3 S,S N3 D1 P R1 S
129,Devaranji,S M1 P D1 P N3 S,S N3 D1 P M1 S
130,Ekakshari,S R1 G3 M1 P D1 N3 S,S N1 P M1 R1 G3 M1 R1 S
131,Ghanasindhu,S M1 G3 M1 P D1 N3 D1 S,S N3 D1 P M1 G3 R1 S
132,Gowla,S R1 M1 P N3 S,S N3 P M1 R1 G3 M1 R1 S
133,Gowlipantu,S R1 M1 P N3 S,S N3 D1 P M1 D1 M1 G3 R1 S
134,Gowri,S R1 M1 P N3 S,S N3 D1 P M1 G3 R1 S
135,Gummakambhoji,S R1 G3 P D1 N3 S,S N3 D1 P M1 G3 R1 S
136,Gundakriya,S R1 M1 P N3 S,S N3 P D1 P M1 G3 R1 S
137,Gurjari,S R1 G3 M1 P D1 N3 S,S D1 N3 P M1 G3 R1 S
138,Jaganmohini,S G3 M1 P N3 S,S N3 P M1 G3 R1 S
139,Kalyanakesari,S R1 G3 P D1 S,S D1 P G3 R1 S
140,Kannadabangala,S R1 M1 G3 M1 D1 P D1 S,S D1 P M1 G3 R1 S
141,Karnataka Saranga,S R1 G3 M1 P D1 N3 S,S N3 D1 P M1 R1 S
142,Lalita,S R1 G3 M1 D1 N3 S,S N3 D1 M1 G3 R1 S
143,Lalitapanchamam,S R1 G3 M1 D1 N3 S,S N3 D1 M1 P M1 G3 R1 S
144,Malavakurinji,S G3 P D1 N3 S,S N3 D1 M1 R1 S
145,Malavapanchamam,S R1 G3 M1 P N3 S,S N3 D1 P M1 G3 R1 S
